Suhu (Â°C),Kelembaban (%),Kategori Suhu,Kategori Kelembaban,Level Pendingin,Level Penyiram
18.7,95.1,Hangat,Tinggi,Sedang,Rendah
36.6,59.9,Panas,Sedang,Tinggi,Sedang
7.8,15.6,Dingin,Rendah,Rendah,Tinggi
2.9,86.6,Dingin,Tinggi,Rendah,Rendah
30.1,70.8,Panas,Tinggi,Tinggi,Rendah
1.0,97.0,Dingin,Tinggi,Rendah,Rendah
41.6,21.2,Panas,Rendah,Tinggi,Tinggi
9.1,18.3,Dingin,Rendah,Rendah,Tinggi
15.2,52.5,Dingin,Sedang,Rendah,Sedang
21.6,29.1,Hangat,Rendah,Sedang,Tinggi
30.6,13.9,Panas,Rendah,Tinggi,Tinggi
14.6,36.6,Dingin,Sedang,Rendah,Sedang
22.8,78.5,Hangat,Tinggi,Sedang,Rendah
10.0,51.4,Dingin,Sedang,Rendah,Sedang
29.6,4.6,Hangat,Rendah,Sedang,Tinggi
30.4,17.1,Panas,Rendah,Tinggi,Tinggi
3.3,94.9,Dingin,Tinggi,Rendah,Rendah
48.3,80.8,Panas,Tinggi,Tinggi,Rendah
15.2,9.8,Dingin,Rendah,Rendah,Tinggi
34.2,44.0,Panas,Sedang,Tinggi,Sedang
6.1,49.5,Dingin,Sedang,Rendah,Sedang
1.7,90.9,Dingin,Tinggi,Rendah,Rendah
12.9,66.3,Dingin,Sedang,Rendah,Sedang
15.6,52.0,Dingin,Sedang,Rendah,Sedang
27.3,18.5,Hangat,Rendah,Sedang,Tinggi
48.5,77.5,Panas,Tinggi,Tinggi,Rendah
47.0,89.5,Panas,Tinggi,Tinggi,Rendah
29.9,92.2,Hangat,Tinggi,Sedang,Rendah
4.4,19.6,Dingin,Rendah,Rendah,Tinggi
2.3,32.5,Dingin,Rendah,Rendah,Tinggi
19.4,27.1,Hangat,Rendah,Sedang,Tinggi
41.4,35.7,Panas,Sedang,Tinggi,Sedang
14.0,54.3,Dingin,Sedang,Rendah,Sedang
7.0,80.2,Dingin,Tinggi,Rendah,Rendah
3.7,98.7,Dingin,Tinggi,Rendah,Rendah
38.6,19.9,Panas,Rendah,Tinggi,Tinggi
0.3,81.5,Dingin,Tinggi,Rendah,Rendah
35.3,72.9,Panas,Tinggi,Tinggi,Rendah
38.6,7.4,Panas,Rendah,Tinggi,Tinggi
17.9,11.6,Dingin,Rendah,Rendah,Tinggi
43.2,62.3,Panas,Sedang,Tinggi,Sedang
16.5,6.4,Dingin,Rendah,Rendah,Tinggi
15.5,32.5,Dingin,Rendah,Rendah,Tinggi
36.5,63.8,Panas,Sedang,Tinggi,Sedang
44.4,47.2,Panas,Sedang,Tinggi,Sedang
6.0,71.3,Dingin,Tinggi,Rendah,Rendah
38.0,56.1,Panas,Sedang,Tinggi,Sedang
38.5,49.4,Panas,Sedang,Tinggi,Sedang
26.1,42.8,Hangat,Sedang,Sedang,Sedang
1.3,10.8,Dingin,Rendah,Rendah,Tinggi
1.6,63.6,Dingin,Sedang,Rendah,Sedang
15.7,50.9,Dingin,Sedang,Rendah,Sedang
45.4,24.9,Panas,Rendah,Tinggi,Tinggi
20.5,75.6,Hangat,Tinggi,Sedang,Rendah
11.4,7.7,Dingin,Rendah,Rendah,Tinggi
14.5,16.1,Dingin,Rendah,Rendah,Tinggi
46.5,80.8,Panas,Tinggi,Tinggi,Rendah
31.7,87.1,Panas,Tinggi,Tinggi,Rendah
40.2,18.7,Panas,Rendah,Tinggi,Tinggi
44.6,53.9,Panas,Sedang,Tinggi,Sedang
40.4,89.6,Panas,Tinggi,Tinggi,Rendah
15.9,11.0,Dingin,Rendah,Rendah,Tinggi
11.4,42.7,Dingin,Sedang,Rendah,Sedang
40.9,86.1,Panas,Tinggi,Tinggi,Rendah
0.3,51.1,Dingin,Sedang,Rendah,Sedang
20.9,22.2,Hangat,Rendah,Sedang,Tinggi
6.0,33.8,Dingin,Rendah,Rendah,Tinggi
47.1,32.3,Panas,Rendah,Tinggi,Tinggi
25.9,70.3,Hangat,Tinggi,Sedang,Rendah
18.2,97.2,Hangat,Tinggi,Sedang,Rendah
48.1,25.2,Panas,Rendah,Tinggi,Tinggi
24.9,30.1,Hangat,Rendah,Sedang,Tinggi
14.2,3.7,Dingin,Rendah,Rendah,Tinggi
30.5,50.3,Panas,Sedang,Tinggi,Sedang
2.6,27.9,Dingin,Rendah,Rendah,Tinggi
45.4,24.0,Panas,Rendah,Tinggi,Tinggi
7.2,48.9,Dingin,Sedang,Rendah,Sedang
49.3,24.2,Panas,Rendah,Tinggi,Tinggi
33.6,76.2,Panas,Tinggi,Tinggi,Rendah
11.9,72.8,Dingin,Tinggi,Rendah,Rendah
18.4,63.2,Hangat,Sedang,Sedang,Sedang
31.7,53.6,Panas,Sedang,Tinggi,Sedang
4.5,83.5,Dingin,Tinggi,Rendah,Rendah
16.0,18.7,Dingin,Rendah,Rendah,Tinggi
2.0,59.1,Dingin,Sedang,Rendah,Sedang
33.9,1.7,Panas,Rendah,Tinggi,Tinggi
25.6,22.6,Hangat,Rendah,Sedang,Tinggi
32.3,17.4,Panas,Rendah,Tinggi,Tinggi
34.5,38.7,Panas,Sedang,Tinggi,Sedang
46.8,13.8,Panas,Rendah,Tinggi,Tinggi
17.1,11.3,Dingin,Rendah,Rendah,Tinggi
46.2,87.7,Panas,Tinggi,Tinggi,Rendah
12.9,66.0,Dingin,Sedang,Rendah,Sedang
40.9,55.5,Panas,Sedang,Tinggi,Sedang
26.5,24.2,Hangat,Rendah,Sedang,Tinggi
4.7,89.7,Dingin,Tinggi,Rendah,Rendah
45.0,63.3,Panas,Sedang,Tinggi,Sedang
17.0,34.9,Dingin,Rendah,Rendah,Tinggi
36.3,89.7,Panas,Tinggi,Tinggi,Rendah
44.4,78.0,Panas,Tinggi,Tinggi,Rendah
